aX,aY,aZ,gX,gY,gZ
0.295,0.053,1.174,2.625,-6.714,-1.770
0.309,0.064,1.199,5.798,-4.883,-2.686
0.318,0.069,1.208,9.094,-2.258,-4.578
0.316,0.052,1.204,11.353,0.549,-7.996
0.314,0.029,1.194,11.475,5.188,-11.536
0.313,0.016,1.183,8.972,11.169,-15.137
0.308,0.005,1.181,5.981,17.151,-18.311
0.306,-0.019,1.175,4.700,22.156,-20.020
0.307,-0.048,1.168,5.188,25.513,-20.203
0.308,-0.074,1.158,6.287,27.100,-19.104
0.306,-0.101,1.142,7.507,28.442,-17.395
0.306,-0.129,1.124,7.629,30.273,-15.076
0.314,-0.143,1.105,6.653,32.349,-12.146
0.325,-0.136,1.098,4.700,34.119,-9.155
0.330,-0.126,1.093,2.869,34.851,-6.470
0.339,-0.119,1.094,1.587,35.522,-5.127
0.339,-0.107,1.100,0.305,35.889,-5.188
0.332,-0.102,1.119,-1.465,36.499,-6.287
0.323,-0.107,1.142,-3.235,38.147,-8.057
0.318,-0.119,1.169,-4.395,41.138,-9.094
0.308,-0.124,1.185,-4.761,45.166,-9.583
0.301,-0.115,1.187,-4.395,49.805,-9.338
0.297,-0.105,1.177,-3.052,54.626,-9.033
0.289,-0.100,1.166,-2.014,58.411,-8.911
0.287,-0.101,1.161,-1.099,62.134,-8.972
0.289,-0.102,1.155,-0.183,66.345,-8.728
0.290,-0.100,1.138,1.099,70.068,-8.301
0.285,-0.094,1.094,3.418,73.425,-8.545
0.278,-0.098,1.035,5.798,76.477,-9.338

0.294,0.672,1.783,-51.331,-201.965,115.845
0.286,0.594,1.827,-37.720,-166.626,89.905
0.283,0.530,1.806,-33.936,-125.793,64.697
0.276,0.529,1.791,-36.255,-91.553,45.471
0.275,0.522,1.783,-33.936,-71.106,35.767
0.284,0.476,1.784,-24.231,-63.354,32.288
0.284,0.418,1.750,-12.329,-61.951,30.640
0.239,0.413,1.717,-5.493,-59.143,27.222
0.206,0.403,1.690,-0.916,-51.392,22.217
0.177,0.361,1.638,4.639,-42.664,16.907
0.158,0.302,1.586,8.606,-32.593,11.475
0.139,0.245,1.522,10.925,-20.630,7.507
0.114,0.181,1.437,12.512,-8.789,5.005
0.065,0.105,1.317,12.634,2.686,3.174
0.083,0.065,1.208,7.263,16.602,3.235
0.153,0.138,1.171,-2.258,26.123,7.324
0.145,0.199,1.170,-6.104,21.790,10.620
0.140,0.189,1.163,-0.549,12.878,11.780
0.131,0.167,1.139,5.005,6.958,11.475
0.111,0.164,1.109,5.920,7.324,9.583
0.112,0.164,1.070,5.859,13.245,6.287
0.104,0.158,1.025,5.798,18.311,2.136
0.090,0.133,0.985,5.737,20.630,-1.892
0.080,0.096,0.943,5.676,21.973,-3.845
0.075,0.051,0.903,5.249,23.437,-4.700
0.069,0.022,0.873,4.150,24.231,-4.333
0.064,0.008,0.852,3.296,23.193,-2.563
0.069,0.005,0.847,3.052,19.531,1.038
0.079,0.017,0.852,3.174,14.282,5.554
0.089,0.039,0.864,3.967,8.667,9.705
0.094,0.073,0.868,5.493,3.540,11.719
0.104,0.085,0.876,6.592,0.671,11.292
0.104,0.082,0.885,6.165,-0.488,8.728
0.099,0.075,0.900,4.333,-0.427,5.066
0.093,0.064,0.917,2.380,0.305,2.136
0.094,0.054,0.930,1.465,1.099,0.549
0.094,0.048,0.940,1.709,1.160,0.366
0.091,0.052,0.941,2.991,0.244,1.099
0.085,0.056,0.942,4.639,-1.160,2.136
0.081,0.053,0.943,6.348,-2.563,3.174
0.076,0.050,0.943,6.836,-3.662,3.662
0.069,0.047,0.940,6.531,-3.845,3.784
0.056,0.036,0.929,4.822,-2.991,2.930
0.038,0.015,0.895,1.343,-1.160,1.709
0.052,0.026,0.884,-5.310,1.038,0.732
0.073,0.082,0.939,-12.695,0.916,1.709
0.073,0.101,1.001,-13.184,-4.089,3.540
0.065,0.090,1.048,-8.118,-11.414,5.310
0.056,0.086,1.076,-3.967,-16.052,7.446
0.055,0.106,1.091,-2.014,-15.015,9.277
0.065,0.130,1.089,-0.610,-10.437,9.216
0.067,0.135,1.073,0.488,-5.249,6.897
0.060,0.118,1.055,0.793,-1.343,3.418
0.053,0.093,1.039,0.183,2.075,1.038
0.056,0.069,1.018,0.122,4.700,0.427
0.053,0.059,0.999,0.671,5.554,0.854
0.051,0.063,0.987,0.854,4.639,2.258
0.057,0.070,0.979,0.732,3.601,3.845
0.059,0.076,0.975,0.183,2.258,4.822
0.064,0.085,0.977,-0.122,1.160,5.188
0.071,0.091,0.978,-0.305,1.038,4.883
0.074,0.093,0.975,-0.366,0.916,3.845
0.071,0.082,0.971,0.122,0.854,2.686
0.068,0.072,0.968,-0.122,1.343,1.831
0.067,0.063,0.966,-0.366,2.747,1.526
0.071,0.057,0.958,-0.183,3.540,2.014
0.069,0.058,0.949,0.183,2.991,2.563
0.073,0.061,0.943,0.488,1.770,3.113
0.071,0.059,0.935,0.916,0.427,3.357
0.064,0.051,0.933,0.671,-0.427,3.418
0.059,0.048,0.933,0.000,-0.977,3.357
0.056,0.044,0.935,-0.427,-1.404,3.845
0.055,0.045,0.939,-0.732,-2.136,4.456
0.051,0.045,0.940,-0.671,-3.479,4.883
0.049,0.045,0.952,-1.160,-4.517,5.066
0.046,0.048,0.971,-1.465,-5.249,5.249
0.042,0.051,0.993,-1.892,-5.920,5.798
0.041,0.055,1.014,-1.953,-5.920,6.836
0.049,0.059,1.021,-0.671,-6.042,7.751
0.041,0.063,1.020,0.916,-8.057,8.179
0.035,0.063,1.015,0.977,-8.972,7.935
0.031,0.071,1.018,-0.427,-7.690,6.897
0.024,0.080,1.034,-1.831,-6.409,5.249
0.018,0.075,1.061,-2.014,-6.226,3.479
0.008,0.064,1.088,-1.465,-5.493,2.686
0.010,0.055,1.120,-0.916,-4.395,3.235
0.017,0.051,1.147,-0.061,-2.930,5.127
0.029,0.062,1.160,0.854,-1.587,7.080
0.042,0.081,1.174,1.648,-0.244,8.484
0.059,0.095,1.190,2.380,1.465,9.216
0.068,0.093,1.208,2.991,3.723,8.667
0.077,0.087,1.226,3.906,7.141,7.507
0.088,0.086,1.229,4.944,12.146,6.409
0.095,0.090,1.221,6.104,17.273,5.005
0.104,0.085,1.211,7.568,21.606,3.662
