aX,aY,aZ,gX,gY,gZ
-0.447,0.746,1.084,93.201,-53.955,-55.237
-0.047,0.422,0.664,53.650,-99.792,37.964
0.321,0.008,0.299,-2.380,-125.610,99.976
0.515,-0.398,0.096,-51.025,-125.610,125.122
0.590,-0.756,0.114,-76.904,-98.328,124.756
0.585,-1.032,0.244,-75.195,-55.786,108.887
0.556,-1.169,0.396,-53.467,-16.541,81.177
0.523,-1.131,0.493,-24.902,11.047,45.105
0.462,-0.969,0.554,-0.854,27.344,7.385
0.375,-0.767,0.605,11.658,36.133,-21.790
0.314,-0.574,0.730,13.306,43.335,-39.124
0.272,-0.402,0.876,11.353,48.889,-45.532
0.228,-0.250,0.999,10.864,48.218,-45.166
0.174,-0.176,1.071,9.644,38.940,-40.344
0.116,-0.166,1.083,4.822,20.752,-31.189
0.107,-0.210,1.020,-4.578,-1.770,-17.639
0.128,-0.289,0.924,-16.174,-23.132,-1.038
0.214,-0.333,0.825,-23.865,-33.691,14.954
0.252,-0.343,0.775,-24.475,-38.574,23.315
0.239,-0.359,0.753,-22.278,-41.443,24.292
0.229,-0.336,0.742,-21.179,-39.185,21.851
0.191,-0.304,0.696,-19.653,-31.311,20.020
0.159,-0.297,0.646,-15.015,-19.409,21.606
0.149,-0.309,0.636,-9.949,-10.010,25.330
0.155,-0.317,0.651,-5.676,-4.883,28.015
0.165,-0.273,0.682,-3.418,-1.953,27.161
0.168,-0.215,0.719,-2.380,0.488,22.156
0.160,-0.130,0.754,-2.502,3.174,14.771
0.170,-0.019,0.797,-3.235,5.615,8.179
0.187,0.055,0.866,-2.075,7.263,4.028
0.131,0.013,0.929,0.183,9.583,4.944
-0.016,-0.188,0.933,-5.066,9.705,18.188
-0.054,-0.421,0.921,-20.996,1.709,45.227
0.067,-0.562,0.909,-42.664,-12.512,73.303
0.213,-0.588,0.875,-59.021,-24.353,90.576
0.297,-0.562,0.815,-62.439,-28.076,91.187
0.341,-0.485,0.752,-55.664,-25.391,76.782
0.387,-0.365,0.735,-45.898,-19.043,53.955
0.398,-0.223,0.783,-37.231,-10.742,29.907
0.381,-0.078,0.817,-27.649,-0.671,10.071
0.367,0.068,0.892,-15.869,9.766,-4.211
0.356,0.152,0.999,0.244,21.179,-12.512
0.275,0.175,1.063,16.663,28.503,-12.939
0.168,0.078,1.120,26.672,31.982,-4.883
0.078,-0.044,1.176,23.254,26.306,12.756
0.107,-0.166,1.186,1.892,9.033,35.645
0.213,-0.202,1.105,-27.832,-14.160,57.495
0.324,-0.202,1.039,-52.490,-35.522,70.679
0.419,-0.193,1.010,-62.744,-48.035,71.533
0.459,-0.182,0.988,-57.861,-52.185,63.721
0.442,-0.172,0.964,-38.574,-50.476,52.246
0.394,-0.156,0.958,-9.827,-45.532,39.490
0.377,-0.141,0.978,21.790,-40.039,29.419
0.317,-0.158,0.991,48.828,-37.964,25.635
0.242,-0.173,1.001,62.256,-37.048,24.414
0.222,-0.207,0.997,63.049,-36.621,24.109
0.280,-0.264,0.965,52.917,-38.513,25.818
0.256,-0.255,0.930,35.034,-41.870,28.931
0.257,-0.270,0.890,19.592,-45.593,30.701
0.232,-0.272,0.870,8.057,-49.683,31.616
0.210,-0.270,0.874,0.793,-52.551,31.616
0.245,-0.281,0.851,-3.052,-52.673,30.945
0.233,-0.304,0.849,-3.601,-51.086,27.344
0.119,-0.328,0.842,-0.427,-45.715,21.729
0.057,-0.366,0.854,5.249,-40.527,19.653
0.029,-0.385,0.854,10.254,-38.269,21.118
0.080,-0.382,0.861,12.451,-36.865,24.231
0.084,-0.370,0.831,13.672,-38.025,24.292
0.082,-0.357,0.810,14.282,-37.170,19.287
0.077,-0.347,0.816,14.587,-35.950,13.672
0.047,-0.329,0.821,13.428,-32.776,9.827
0.014,-0.304,0.848,11.780,-27.405,8.606
0.031,-0.301,0.875,10.742,-22.339,12.512
0.053,-0.294,0.908,7.507,-19.104,18.494
0.059,-0.301,0.928,0.854,-18.982,23.743
0.049,-0.323,0.951,-8.606,-21.301,27.222
0.042,-0.363,0.985,-19.104,-24.414,27.283
0.018,-0.383,1.000,-28.137,-26.550,25.635
-0.033,-0.387,1.003,-30.212,-28.381,23.621
-0.052,-0.386,1.009,-23.315,-27.649,21.851
-0.030,-0.373,1.023,-12.390,-26.978,21.240
-0.004,-0.339,1.035,-3.296,-28.198,20.874
0.015,-0.310,1.028,0.916,-30.762,19.043
0.039,-0.305,1.003,0.671,-33.325,15.869
0.041,-0.302,0.969,-1.709,-36.499,11.780
0.016,-0.305,0.952,-4.333,-38.940,5.493
-0.001,-0.295,0.944,-5.371,-38.940,-0.305
-0.016,-0.268,0.938,-4.089,-37.170,-3.906
-0.052,-0.247,0.953,-0.122,-33.936,-6.409
-0.090,-0.223,0.965,3.662,-30.151,-7.935
-0.131,-0.231,0.965,4.395,-26.123,-8.423
-0.123,-0.182,0.996,1.221,-22.339,-8.911
-0.102,-0.138,1.002,-3.540,-22.156,-8.728
-0.091,-0.145,1.001,-8.362,-22.644,-8.301
-0.113,-0.159,0.988,-11.902,-21.790,-7.019
-0.123,-0.170,0.991,-13.184,-22.949,-5.005
-0.139,-0.164,0.989,-12.634,-25.146,-3.479
-0.145,-0.149,0.983,-10.620,-27.466,0.244
-0.148,-0.125,0.955,-7.568,-28.687,6.226
-0.159,-0.130,0.941,-4.944,-27.771,12.146
-0.170,-0.138,0.950,-5.066,-25.635,16.418
-0.194,-0.156,0.965,-8.484,-22.583,18.250
-0.219,-0.173,0.971,-13.855,-19.592,17.578
-0.233,-0.179,0.978,-18.982,-18.250,16.235
-0.262,-0.163,0.969,-22.705,-19.348,16.846
-0.295,-0.152,0.955,-24.475,-21.362,18.372
-0.295,-0.158,0.940,-24.231,-23.804,20.813
-0.273,-0.169,0.920,-23.621,-27.710,23.987
-0.223,-0.187,0.895,-22.339,-31.006,27.161
-0.200,-0.199,0.873,-19.958,-32.227,28.931
-0.207,-0.225,0.858,-15.747,-29.663,29.053

1.625,0.652,1.695,184.021,345.703,-205.933
1.156,0.851,2.338,217.102,384.583,-229.248
0.545,1.087,2.853,162.048,351.562,-238.281
-0.010,1.255,2.876,61.035,254.333,-225.586
-0.301,1.191,2.600,-7.141,130.066,-174.194
-0.266,0.920,2.128,-14.404,24.597,-89.600
-0.094,0.529,1.599,6.470,-49.927,6.226
0.271,0.151,1.088,21.362,-90.088,87.280
0.630,-0.251,0.681,15.198,-110.229,135.193
0.785,-0.667,0.504,-11.902,-113.708,146.973
0.789,-1.007,0.469,-45.349,-96.558,128.113
0.739,-1.144,0.526,-63.232,-62.683,90.332
0.689,-1.121,0.622,-51.697,-26.367,47.058
0.589,-0.992,0.711,-20.935,1.099,10.925
0.485,-0.780,0.779,10.010,19.348,-14.160
0.397,-0.543,0.839,28.137,27.039,-28.687
0.337,-0.363,0.890,26.367,23.193,-32.593
0.296,-0.250,0.924,10.254,13.245,-27.771
0.288,-0.233,0.950,-10.864,2.380,-15.869
0.281,-0.269,0.959,-30.945,-9.949,-1.343
0.297,-0.290,0.946,-45.471,-21.729,10.559
0.300,-0.308,0.932,-51.941,-32.715,17.456
0.293,-0.314,0.898,-53.772,-42.114,19.775
0.292,-0.288,0.856,-53.101,-48.706,19.348
0.288,-0.228,0.837,-47.546,-49.011,16.113
0.267,-0.173,0.849,-34.302,-40.283,12.024
0.228,-0.164,0.862,-17.151,-27.161,11.841
0.208,-0.184,0.880,-5.310,-18.677,16.357
0.205,-0.194,0.900,-3.174,-17.761,22.278
0.207,-0.185,0.912,-8.728,-20.874,26.794
0.243,-0.121,0.927,-15.747,-23.804,28.809
0.255,-0.036,0.930,-19.897,-25.208,27.771
0.281,0.051,0.960,-19.653,-24.536,25.330
0.314,0.109,0.986,-15.137,-22.888,22.949
0.295,0.158,1.001,-6.653,-19.958,20.081
0.273,0.185,1.019,5.981,-15.808,18.921
0.244,0.179,1.054,21.851,-12.939,23.804
0.235,0.141,1.075,35.156,-12.329,34.302
0.251,0.082,1.094,40.100,-13.672,48.584
0.277,0.002,1.088,34.973,-17.700,62.561
0.285,-0.096,1.046,23.193,-26.550,73.303
0.297,-0.198,0.985,8.545,-39.001,81.116
