aX,aY,aZ,gX,gY,gZ
0.270,0.200,0.263,47.424,-55.298,14.648
0.331,0.122,0.245,49.133,-46.814,16.174
0.353,0.117,0.193,46.509,-32.166,19.653
0.348,0.142,0.143,41.504,-16.907,22.217
0.308,0.135,0.080,40.283,-7.629,22.095
0.254,0.110,0.040,40.894,-4.211,20.813
0.185,0.101,0.030,39.917,-8.545,22.034
0.147,0.100,0.101,39.734,-17.090,26.001
0.121,0.078,0.171,44.006,-23.621,33.630
0.132,0.080,0.197,53.040,-27.222,43.030
0.183,-0.005,0.107,64.148,-26.611,48.401
0.249,-0.122,0.035,69.092,-23.987,48.279
0.309,-0.203,0.028,62.378,-24.841,49.072

0.816,0.727,1.371,52.124,-135.010,88.684
0.909,0.756,1.489,49.683,-128.784,84.167
0.931,0.783,1.569,49.622,-122.192,78.491
0.948,0.760,1.569,53.589,-112.305,71.411
0.996,0.723,1.531,60.547,-100.891,63.293
1.040,0.752,1.510,64.575,-96.069,55.481
1.088,0.775,1.550,66.772,-97.412,48.218
1.143,0.779,1.620,67.383,-100.037,39.795
1.144,0.808,1.714,62.744,-99.121,29.419
1.161,0.809,1.803,57.800,-92.529,18.982
1.170,0.740,1.858,55.603,-80.933,9.460
1.170,0.633,1.902,53.467,-69.031,1.282
1.155,0.576,1.955,48.096,-58.289,-2.136
1.149,0.574,2.011,41.321,-46.997,-0.610
1.165,0.609,2.060,34.790,-33.936,3.052
1.192,0.669,2.117,29.175,-19.531,6.775
1.194,0.704,2.134,26.917,-3.357,7.202
1.173,0.694,2.110,25.391,12.939,4.700
1.147,0.680,2.057,19.714,31.982,2.075
1.132,0.685,1.985,10.010,51.392,-0.488
1.129,0.703,1.914,-0.977,69.275,-3.052
1.120,0.718,1.867,-11.108,83.374,-6.409
1.114,0.706,1.829,-18.616,94.971,-10.864
1.099,0.684,1.787,-23.132,105.103,-15.869
1.062,0.636,1.740,-25.269,113.708,-19.775
1.030,0.553,1.661,-25.635,122.559,-22.156
1.014,0.483,1.571,-26.550,130.188,-23.315
1.009,0.444,1.487,-29.968,135.681,-22.339
1.014,0.417,1.420,-34.485,138.550,-21.362
1.007,0.390,1.370,-40.100,140.808,-21.423
0.994,0.364,1.336,-45.776,144.897,-22.400
0.958,0.333,1.283,-49.683,150.879,-23.804
0.917,0.339,1.201,-51.819,158.142,-26.917
0.882,0.347,1.098,-53.833,164.612,-30.701
0.868,0.333,0.986,-56.885,168.884,-35.522
0.835,0.328,0.880,-63.477,171.265,-42.053
0.784,0.338,0.784,-73.059,172.913,-50.598
0.743,0.337,0.696,-81.238,174.500,-59.692
0.723,0.307,0.591,-85.266,174.744,-67.932
0.674,0.257,0.488,-86.731,172.852,-75.378
0.606,0.217,0.388,-88.989,169.495,-81.116
0.555,0.188,0.330,-92.407,164.673,-82.886
0.512,0.154,0.294,-94.299,158.020,-79.712
0.465,0.126,0.271,-92.834,150.940,-73.975
0.411,0.126,0.229,-88.501,146.057,-68.665
0.374,0.142,0.165,-82.336,143.250,-64.819
0.331,0.151,0.054,-75.806,138.062,-61.951
0.351,0.150,0.064,-70.251,133.911,-60.181
0.321,0.158,0.038,-66.711,123.962,-58.716
0.232,0.181,-0.069,-67.017,109.497,-61.157
