aX,aY,aZ,gX,gY,gZ
1.479,3.150,0.245,17.700,-22.522,-13.489
1.409,2.893,0.201,6.775,-25.696,-67.200
1.248,2.602,0.112,-4.761,-26.428,-117.371
1.098,2.233,0.053,-11.658,-21.912,-161.255
0.916,1.861,-0.061,-18.982,-17.029,-197.205
0.677,1.472,-0.097,-29.236,-15.503,-225.525
0.487,1.055,-0.102,-41.077,-18.799,-245.056
0.238,0.701,0.053,-56.519,-31.433,-257.935
-0.105,0.303,0.321,-65.308,-51.819,-266.296
-0.463,-0.180,0.686,-61.279,-72.449,-268.188
-0.785,-0.636,1.084,-54.932,-85.632,-263.062
-1.082,-1.069,1.446,-47.424,-89.111,-253.540
-1.380,-1.522,1.729,-36.865,-85.266,-242.981
-1.717,-1.935,1.985,-27.893,-78.552,-228.882
-2.035,-2.277,2.249,-18.860,-71.045,-205.444
-2.259,-2.668,2.386,-6.042,-55.298,-167.236
-2.320,-2.896,2.445,9.155,-34.485,-115.662
-2.268,-2.945,2.232,34.363,-18.250,-51.270
-2.069,-2.781,1.955,49.316,-0.183,17.639
-1.823,-2.510,1.675,57.800,12.024,81.604
-1.539,-2.125,1.406,62.195,18.860,137.695
-1.251,-1.607,1.191,56.030,20.996,186.462
-0.960,-1.001,1.076,45.166,19.165,226.746
-0.677,-0.372,1.036,37.292,14.587,257.690
-0.424,0.277,1.045,33.813,10.010,280.640
-0.184,0.890,1.035,33.386,8.423,295.471
0.082,1.464,1.035,34.241,11.169,299.194
0.363,2.000,0.989,34.485,11.963,290.771
0.652,2.444,0.982,32.715,13.977,268.616
0.917,2.691,1.009,31.860,13.306,234.985
1.094,2.871,0.886,33.630,15.259,194.580
1.299,3.060,0.807,23.804,22.400,153.381
1.420,3.100,0.799,14.893,23.743,106.445
1.420,3.022,0.703,16.052,19.348,58.044
1.413,2.908,0.556,19.592,19.470,13.611
1.359,2.747,0.384,16.968,20.935,-29.419
1.235,2.527,0.318,10.437,18.311,-75.134
1.036,2.244,0.248,1.526,17.212,-117.432
0.848,1.889,0.215,-8.118,15.503,-153.748
0.670,1.518,0.214,-17.700,15.808,-184.265
0.466,1.132,0.245,-25.635,11.230,-209.778
0.234,0.683,0.294,-28.748,3.601,-229.736
-0.021,0.244,0.378,-32.532,-2.808,-242.493
-0.337,-0.145,0.523,-38.147,-10.254,-248.413
-0.711,-0.539,0.728,-41.931,-20.142,-248.047
-1.055,-1.005,1.020,-43.457,-31.494,-241.516
-1.337,-1.505,1.377,-44.189,-40.222,-229.004
-1.543,-2.001,1.712,-44.556,-39.673,-211.243
-1.761,-2.406,1.946,-45.837,-26.733,-188.171
-1.962,-2.702,1.976,-44.250,-7.263,-158.203
-2.087,-2.973,2.026,-37.048,6.226,-118.347
-2.219,-3.180,1.918,-14.465,6.836,-66.467
-2.135,-3.183,1.777,6.836,11.963,-3.174
-2.010,-2.949,1.635,16.174,18.921,64.575
-1.780,-2.577,1.437,29.236,22.156,131.104
-1.513,-2.099,1.236,40.955,21.362,191.772
-1.251,-1.501,1.078,42.908,18.311,243.408
-0.980,-0.788,0.959,39.124,15.930,286.438
-0.708,0.068,0.853,36.316,11.719,318.604
-0.452,0.930,0.778,36.011,4.761,332.947
-0.127,1.664,0.754,35.583,-1.770,328.308
0.214,2.182,0.766,30.823,-5.737,306.763

0.773,2.807,0.992,27.771,-2.625,239.319
1.050,3.163,0.847,36.438,2.869,204.712
1.274,3.375,0.795,29.785,6.470,169.189
1.389,3.359,0.774,24.536,2.380,118.774
1.321,3.194,0.740,18.372,1.953,62.744
1.236,2.936,0.675,2.441,12.390,12.512
1.089,2.598,0.710,-24.841,36.926,-35.400
0.815,2.150,0.628,-54.810,64.575,-80.933
0.609,1.589,0.482,-82.458,102.783,-114.014
0.472,1.056,0.335,-116.638,136.475,-133.057
0.372,0.512,0.303,-157.654,164.734,-145.630
