Time,Sample,FFT,PSD
405.049219,715.000,nan,nan
405.049284,739.000,nan,nan
405.049322,752.000,nan,nan
405.049360,770.000,nan,nan
405.049397,752.000,nan,nan
405.049435,732.000,nan,nan
405.049472,716.000,nan,nan
405.049510,701.000,nan,nan
405.049547,686.000,nan,nan
405.049584,653.000,nan,nan
405.049639,640.000,nan,nan
405.049677,618.000,nan,nan
405.049714,605.000,nan,nan
405.049752,634.000,nan,nan
405.049789,572.000,nan,nan
405.049827,554.000,nan,nan
405.049864,537.000,nan,nan
405.049902,520.000,nan,nan
405.049939,499.000,nan,nan
405.049977,485.000,nan,nan
405.050015,468.000,nan,nan
405.050052,454.000,nan,nan
405.050090,435.000,nan,nan
405.050127,417.000,nan,nan
405.050165,397.000,nan,nan
405.050202,384.000,nan,nan
405.050240,367.000,nan,nan
405.050305,335.000,nan,nan
405.050343,317.000,nan,nan
405.050381,299.000,nan,nan
405.050418,281.000,nan,nan
405.050456,261.000,nan,nan
405.050493,246.000,nan,nan
405.050531,225.000,nan,nan
405.050568,214.000,nan,nan
405.050622,185.000,nan,nan
405.050660,171.000,nan,nan
405.050698,152.000,nan,nan
405.050735,132.000,nan,nan
405.050773,118.000,nan,nan
405.050811,104.000,nan,nan
405.050848,83.000,nan,nan
405.050886,62.000,nan,nan
405.050923,55.000,nan,nan
405.050961,27.000,nan,nan
405.050998,12.000,nan,nan
405.051036,0.000,nan,nan
405.051073,14.000,nan,nan
405.051110,30.000,nan,nan
405.051148,53.000,nan,nan
405.051186,68.000,nan,nan
405.051223,79.000,nan,nan
405.051261,98.000,nan,nan
405.051320,73.000,nan,nan
405.051357,143.000,nan,nan
405.051395,167.000,nan,nan
405.051432,180.000,nan,nan
405.051470,199.000,nan,nan
405.051507,214.000,nan,nan
405.051545,229.000,nan,nan
405.051582,235.000,nan,nan
405.051635,270.000,nan,nan
405.051673,284.000,nan,nan
405.051711,301.000,nan,nan
405.051748,327.000,nan,nan
405.051786,343.000,nan,nan
405.051823,360.000,nan,nan
405.051861,377.000,nan,nan
405.051898,395.000,nan,nan
405.051936,413.000,nan,nan
405.051974,426.000,nan,nan
405.052011,448.000,nan,nan
405.052049,465.000,nan,nan
405.052086,480.000,nan,nan
405.052124,497.000,nan,nan
405.052161,516.000,nan,nan
405.052199,527.000,nan,nan
405.052237,552.000,nan,nan
405.052274,567.000,nan,nan
405.052333,593.000,nan,nan
405.052371,613.000,nan,nan
405.052408,629.000,nan,nan
405.052446,651.000,nan,nan
405.052483,666.000,nan,nan
405.052521,685.000,nan,nan
405.052558,701.000,nan,nan
405.052596,717.000,nan,nan
405.052642,741.000,nan,nan
405.052679,758.000,nan,nan
