aX,aY,aZ,gX,gY,gZ
-1.279,-1.083,3.314,85.815,-1.404,358.704
-1.409,-0.994,3.252,24.658,49.438,348.816
-1.502,-0.898,3.076,-46.387,93.262,329.224
-1.500,-0.864,2.946,-125.793,139.465,306.885
-1.495,-0.856,2.802,-199.158,182.129,288.635
-1.496,-0.850,2.674,-254.578,217.224,276.428
-1.549,-0.829,2.525,-293.030,243.408,262.756
-1.614,-0.698,2.289,-318.054,264.832,239.807
-1.672,-0.477,2.067,-332.031,286.682,207.031
-1.712,-0.249,1.838,-336.792,305.176,167.908
-1.698,-0.050,1.573,-342.529,317.383,125.549
-1.617,0.150,1.339,-362.732,318.054,84.412
-1.518,0.378,1.067,-393.433,304.932,47.729
-1.549,0.507,0.841,-427.429,275.146,8.911
-1.577,0.529,0.632,-458.862,228.638,-47.241
-1.451,0.452,0.475,-477.661,182.007,-114.258
-1.276,0.298,0.309,-477.539,145.935,-168.640
-1.104,0.082,0.134,-459.412,119.385,-205.261
-0.935,-0.133,-0.067,-424.988,99.304,-225.342
-0.808,-0.314,-0.293,-380.615,76.416,-231.567
-0.734,-0.439,-0.485,-339.600,45.044,-227.051
-0.760,-0.519,-0.577,-310.608,2.563,-216.919
-0.741,-0.580,-0.646,-295.837,-47.363,-208.313
-0.724,-0.610,-0.660,-293.213,-101.013,-204.346
-0.695,-0.679,-0.584,-290.222,-153.015,-201.660
-0.642,-0.754,-0.501,-271.790,-200.562,-199.646
-0.608,-0.801,-0.442,-234.192,-238.647,-199.036
-0.551,-0.861,-0.405,-180.603,-263.550,-197.998
-0.480,-0.951,-0.393,-118.469,-281.860,-194.092
-0.363,-1.104,-0.299,-54.382,-295.898,-183.777
-0.282,-1.262,-0.147,12.817,-308.289,-163.086
-0.271,-1.352,-0.001,71.899,-326.416,-133.606
-0.245,-1.312,0.128,109.131,-354.370,-100.342
-0.192,-1.226,0.343,134.521,-378.601,-63.110
-0.215,-1.196,0.546,161.072,-386.108,-24.902
-0.262,-1.215,0.734,192.688,-382.996,4.456
-0.248,-1.220,0.862,224.060,-375.305,25.391
-0.242,-1.245,0.982,248.596,-367.249,50.720
-0.284,-1.317,1.109,263.245,-362.122,87.402
-0.347,-1.376,1.269,267.090,-354.065,135.498
-0.486,-1.383,1.468,264.954,-336.609,191.650
-0.559,-1.379,1.712,270.935,-298.279,245.544
-0.625,-1.414,1.963,284.668,-250.854,289.856
-0.732,-1.469,2.177,297.729,-223.999,321.655
-0.894,-1.488,2.301,302.612,-217.468,343.323
-1.017,-1.460,2.478,292.114,-204.712,360.718
-1.073,-1.431,2.658,275.269,-180.298,373.901
-1.136,-1.423,2.820,259.277,-152.588,380.920
-1.202,-1.397,2.970,240.967,-119.019,378.662
-1.267,-1.315,3.018,213.074,-75.623,368.286
-1.297,-1.205,2.977,176.331,-29.663,357.117
-1.288,-1.095,2.932,132.080,9.888,352.966
-1.230,-1.041,2.988,80.505,49.133,354.675
-1.244,-1.002,2.929,23.987,88.196,355.835
-1.198,-0.992,2.875,-33.691,132.141,351.868
-1.246,-0.936,2.704,-89.539,172.180,337.830
-1.260,-0.869,2.529,-135.376,219.299,315.063
-1.255,-0.801,2.309,-171.143,268.433,290.405
-1.280,-0.631,2.063,-204.285,305.176,266.174
