aX,aY,aZ,gX,gY,gZ
-0.377,-0.157,0.850,2.075,172.180,-40.588
-0.340,-0.110,0.968,-3.052,180.176,-43.030
-0.321,-0.069,1.058,-6.409,183.228,-44.128
-0.306,-0.062,1.139,-5.676,177.979,-42.725
-0.290,-0.056,1.187,-2.380,168.762,-40.100
-0.307,-0.025,1.183,-0.854,158.630,-37.720
-0.332,-0.001,1.148,0.244,146.423,-33.997
-0.310,-0.011,1.166,3.357,134.216,-29.297
-0.276,-0.042,1.233,6.897,127.380,-24.902
-0.286,-0.088,1.268,5.554,126.282,-22.095
-0.347,-0.113,1.268,0.000,125.000,-22.217
-0.325,-0.066,1.416,-9.521,122.681,-32.043
-0.298,-0.005,1.388,-12.146,101.868,-30.090
-0.319,-0.023,1.310,-7.446,93.811,-37.109
-0.284,0.029,1.340,-7.629,83.801,-36.621
-0.271,0.066,1.337,-4.944,71.533,-28.748
-0.277,0.069,1.362,-0.977,66.223,-22.461
-0.265,0.080,1.399,0.916,58.594,-17.456
-0.270,0.085,1.410,4.272,44.189,-12.939
-0.285,0.083,1.390,9.216,26.978,-10.986
-0.309,0.083,1.353,12.817,13.916,-9.766
-0.333,0.090,1.292,14.465,4.761,-7.385
-0.353,0.090,1.214,15.625,-0.427,-4.456
-0.372,0.073,1.139,16.052,-4.028,-2.136
-0.384,0.054,1.074,15.930,-6.042,-0.488
-0.390,0.043,1.026,14.832,-6.042,-0.427
-0.381,0.039,0.995,13.672,-4.944,-1.343
-0.365,0.039,0.978,12.146,-2.686,-1.648
-0.358,0.048,0.971,9.949,0.061,-0.854
-0.363,0.057,0.958,7.629,1.465,0.854
-0.363,0.052,0.952,5.981,0.916,2.747
-0.359,0.041,0.939,4.333,-0.427,4.761
-0.362,0.035,0.921,2.747,-1.282,6.287
-0.373,0.030,0.912,0.977,-1.404,7.507
-0.375,0.005,0.908,-1.160,-0.854,8.423
-0.384,-0.022,0.905,-4.883,1.770,9.094
-0.397,-0.022,0.900,-10.376,6.714,8.423
-0.406,-0.006,0.897,-15.747,11.719,6.775
-0.410,0.009,0.893,-18.494,14.954,5.188
-0.403,0.018,0.900,-17.700,16.602,4.456
-0.400,0.027,0.911,-15.747,17.517,4.456
-0.397,0.034,0.923,-13.367,17.334,4.700
-0.391,0.030,0.931,-10.254,14.771,5.127
-0.392,0.020,0.928,-7.507,11.963,5.798
-0.393,0.009,0.927,-5.554,10.193,6.104
-0.394,-0.004,0.928,-5.249,9.705,5.798
-0.396,-0.008,0.932,-6.287,11.230,4.639
-0.391,-0.000,0.939,-8.362,13.245,3.052

-0.546,0.282,-1.919,70.251,-324.524,-31.006
-0.610,0.290,-2.017,50.232,-252.930,-9.521
-0.818,0.217,-1.837,30.945,-159.180,19.043
-0.846,0.099,-1.486,18.677,-59.387,36.072
-0.791,0.059,-1.116,11.475,17.639,34.790
-0.807,0.058,-0.747,12.634,57.983,28.137
-0.876,0.047,-0.394,19.836,74.158,23.682
-0.946,0.011,-0.116,27.100,80.261,21.851
-1.016,-0.064,0.112,30.945,80.139,20.325
-1.066,-0.157,0.235,26.855,73.853,19.043
-1.108,-0.199,0.288,13.611,64.087,16.357
-1.136,-0.203,0.297,-0.732,49.622,11.169
-1.154,-0.161,0.254,-8.850,31.433,5.005
-1.164,-0.103,0.181,-7.996,10.620,-1.709
-1.123,-0.053,0.083,-3.357,-7.812,-7.935
-1.070,-0.035,-0.011,-0.488,-21.851,-11.658
-1.016,0.007,-0.153,-1.404,-29.846,-11.658
-0.989,0.062,-0.319,-5.493,-32.104,-10.742
-0.953,0.103,-0.455,-7.141,-29.541,-8.057
-0.926,0.097,-0.525,-3.967,-23.132,-2.563
-0.920,0.049,-0.528,0.916,-13.611,4.028
